Journal name,,Self citation,Total Citation,NLIQ,ICR score,OCQ,,
ACM Computing Surveys,CSUR,1061,42584,0.978065058,0.153715578,0.975084539,,
Journal of the ACM,JACM,2557,76859,0.957480581,0.227291414,0.966731287,,
Journal of Data and Information Quality,JDIQ,17,152,0.828947368,0.142628954,0.888157895,,
Journal of Experimental Algorithmics,JEA,194,1164,0.899484536,0.175237071,0.833333333,,
ACM Journal on Emerging Technologies in Computing Systems,JETC,143,624,0.802884615,0.187189685,0.770833333,,
Journal on Computing and Cultural Heritage,JOCCH,50,248,0.778225807,0.155053992,0.798387097,,
ACM Transactions on Autonomous and Adaptive Systems,TAAS,221,1205,0.931950208,0.190152331,0.81659751,,
ACM Transactions on Accessible Computing,TACCESS,50,395,0.850632911,0.139660519,0.873417722,,
ACM Transactions on Architecture and Code Optimization,TACO,196,1513,0.897554527,0.16669851,0.870456048,,zz
ACM Transactions on Algorithms,TALG,494,2743,0.949417758,0.275959609,0.819905213,,
ACM Transactions on Asian and Low-Resource Language Information Processing,TALLIP,163,985,1,0.137775115,0.834517766,,
ACM Transactions on Applied Perception,TAP,154,1239,0.897497982,0.17113438,0.875706215,,
ACM Transactions on Economics and Computation,TEAC,28,77,1,0.172917686,0.636363636,,
ACM Transactions on Embedded Computing Systems,TECS,494,3721,0.93173878,0.176168138,0.867239989,,
ACM Transactions on Interactive Intelligent Systems,TIIS,77,288,1,0.253286578,0.732638889,,
ACM Transactions on Information and System Security,TISSEC,425,7370,0.960922659,0.166344422,0.942333786,,
ACM Transactions on Intelligent Systems and Technology,TIST,223,1796,0.968651212,0.185612926,0.875835189,,
ACM Transactions on Knowledge Discovery from Data,TKDD,192,1885,0.973977695,0.171300946,0.898143236,,
ACM Transactions on Management Information Systems,TMIS,17,227,0.643171806,0.196017746,0.925110132,,
ACM Transactions on Computing Education,TOCE,131,1418,0.903385049,0.129738384,0.907616361,,
ACM Transactions on Computer-Human Interaction,TOCHI,678,10231,0.96236927,0.165636663,0.933730818,,
ACM Transactions on Computer Systems,TOCS,512,19597,0.973618411,0.222572714,0.973873552,,
ACM Transactions on Computation Theory,TOCT,24,102,0.931372549,0.132208807,0.764705882,,
ACM Transactions on Design Automation of Electronic Systems,TODAES,505,3875,0.904258065,0.182833914,0.869677419,,
ACM Transactions on Database Systems,TODS,1359,28282,0.930026165,0.212886084,0.951948236,,
ACM Transactions on Graphics,TOG,5341,67004,0.730150439,0.121289903,0.920288341,,
ACM Transactions on Information Systems,TOIS,952,18273,0.963826411,0.159734976,0.947901275,,
ACM Transactions on Internet Technology,TOIT,253,3190,0.976175549,0.190619408,0.920689655,,
ACM Transactions on Modelling and Computer Simulations,TOMACS,371,4099,0.903147109,0.171189032,0.90949012,,
ACM Transactions on Mathematical Software,TOMM,264,2286,0.961942257,0.180541146,0.884514436,,
IEEE/ACM Transactions on Networking,TON,1387,34381,0.899392106,0.214305864,0.959657951,,
ACM Transactions on Storage,TOPC,3,11,1,0.122245311,0.727272727,,
ACM Transactions on Programming Languages and Systems,TOPLAS,1432,28408,0.953534216,0.171861409,0.949591664,,
ACM Transactions on Storage,TOS,101,1194,0.886934673,0.141071158,0.915410385,,
ACM Transactions on Software Engineering and Methodology,TOSEM,768,3860,0.963769752,0.198876159,0.801036269,,
ACM Transactions on Sensor Networks,TOSN,210,2805,0.901247772,0.197512443,0.92513369,,
ACM Transactions on Spatial Algorithms and Systems,TSAS,1,1,1,0.250564541,0,,
ACM Transactions on the Web,TWEB,188,1774,0.967305524,0.184624937,0.894024803,,
