Journal name,,Self citation,Total Citation
ACM Transactions on Computer-Human Interaction,TOCHI,678,10231
ACM Transactions on Computer Systems,TOCS,512,19597
ACM Transactions on Graphics,TOG,5341,67004
ACM Transactions on Information Systems,TOIS,952,18273
ACM Transactions on Programming Languages and Systems,TOPLAS,1432,28408
IEEE/ACM Transactions on Networking,TON,1387,34381
ACM Transactions on Software Engineering and Methodology,TOSEM,768,3860
ACM Transactions on Database Systems,TODS,1359,28282
ACM Transactions on Information and System Security,TISSEC,425,7370
ACM Transactions on Asian and Low-Resource Language Information Processing,TALLIP,163,985
ACM Transactions on Embedded Computing Systems,TECS,494,3721
ACM Transactions on Computing Education,TOCE,131,1418
ACM Transactions on Design Automation of Electronic Systems,TODAES,505,3875
ACM Transactions on Internet Technology,TOIT,253,3190
Journal of Data and Information Quality,JDIQ,17,152
Journal of Experimental Algorithmics,JEA,194,1164
ACM Journal on Emerging Technologies in Computing Systems,JETC,143,624
Journal on Computing and Cultural Heritage,JOCCH,50,248
ACM Transactions on Autonomous and Adaptive Systems,TAAS,221,1205
ACM Transactions on Accessible Computing,TACCESS,50,395
ACM Transactions on Architecture and Code Optimization,TACO,196,1513
ACM Transactions on Algorithms,TALG,494,2743
ACM Transactions on Applied Perception,TAP,154,1239
ACM Transactions on Economics and Computation,TEAC,28,77
ACM Transactions on Interactive Intelligent Systems,TIIS,77,288
ACM Transactions on Intelligent Systems and Technology,TIST,223,1796
ACM Transactions on Knowledge Discovery from Data,TKDD,192,1885
ACM Transactions on Computation Theory,TOCT,24,102
ACM Transactions on Mathematical Software,TOMM,264,2286
ACM Transactions on Storage,TOPC,3,11
ACM Computing Surveys,CSUR,1061,42584
Journal of the ACM,JACM,2557,76859
ACM Transactions on Management Information Systems,TMIS,17,227
ACM Transactions on Modelling and Computer Simulations,TOMACS,371,4099
ACM Transactions on Storage,TOS,101,1194
ACM Transactions on Sensor Networks,TOSN,210,2805
ACM Transactions on Spatial Algorithms and Systems,TSAS,1,1
ACM Transactions on the Web,TWEB,188,1774
